epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,151.558,0.94051,0.55856,0.91116,0.64954,0.76729,0.72415,0.45476,1.12849,0.72416,1.01048,0.000885523,0.000885523,0.000885523
43,155.149,0.95326,0.56757,0.93307,0.73729,0.65178,0.70079,0.448,1.02607,0.70536,0.96404,0.000880023,0.000880023,0.000880023
44,158.655,0.94525,0.57397,0.91799,0.61718,0.77923,0.67644,0.44014,1.00366,0.75,0.96572,0.000874524,0.000874524,0.000874524
45,162.097,0.90286,0.55131,0.90831,0.7071,0.73084,0.71843,0.48241,1.01904,0.6701,0.97402,0.000869024,0.000869024,0.000869024
46,165.769,0.9231,0.57243,0.9117,0.74061,0.68348,0.70642,0.47945,1.00231,0.65209,0.96228,0.000863525,0.000863525,0.000863525
47,169.24,0.86542,0.52847,0.90339,0.65881,0.64256,0.62788,0.41192,1.0491,0.71934,0.97283,0.000858025,0.000858025,0.000858025
48,172.729,0.85064,0.51189,0.89614,0.74139,0.75297,0.75768,0.50015,1.02896,0.6567,0.97249,0.000852526,0.000852526,0.000852526
49,176.383,0.87805,0.51655,0.90333,0.76639,0.76137,0.77377,0.51565,1.01536,0.64377,0.97708,0.000847026,0.000847026,0.000847026
50,180.094,0.87168,0.53604,0.9125,0.71756,0.68488,0.71429,0.46287,1.0002,0.66078,0.97785,0.000841527,0.000841527,0.000841527
51,183.709,0.87851,0.51209,0.90375,0.63924,0.74408,0.63413,0.41201,1.01378,0.71013,0.97829,0.000836027,0.000836027,0.000836027
52,187.213,0.86152,0.52287,0.90315,0.7364,0.71636,0.72702,0.46558,1.03601,0.6819,0.98551,0.000830528,0.000830528,0.000830528
53,190.694,0.8527,0.48729,0.90796,0.68894,0.76789,0.72369,0.4537,0.99014,0.64827,0.9701,0.000825029,0.000825029,0.000825029
