epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,304.39,0.85554,0.62028,1.09714,0.9463,0.86657,0.9233,0.75409,0.75675,0.48494,1.02148,0.0091882,0.0091882,0.0091882
43,311.586,0.86024,0.63969,1.09956,0.9312,0.89144,0.91002,0.77414,0.73879,0.45851,1.01826,0.0091684,0.0091684,0.0091684
44,318.785,0.85765,0.62699,1.09722,0.95728,0.87399,0.92381,0.7694,0.71922,0.46164,1.03457,0.0091486,0.0091486,0.0091486
45,325.914,0.84716,0.60909,1.0895,0.91746,0.88116,0.91981,0.76326,0.73315,0.48842,1.01338,0.0091288,0.0091288,0.0091288
46,333.077,0.85111,0.61949,1.08831,0.94464,0.86458,0.90458,0.7686,0.69343,0.46933,0.98981,0.009109,0.009109,0.009109
47,340.158,0.86514,0.61934,1.0968,0.93342,0.87551,0.91667,0.74855,0.73714,0.47361,1.02209,0.0090892,0.0090892,0.0090892
48,347.214,0.82345,0.60203,1.07775,0.95656,0.8826,0.92327,0.77326,0.69306,0.44293,0.98269,0.0090694,0.0090694,0.0090694
49,354.321,0.84904,0.60793,1.08923,0.95366,0.90449,0.92016,0.75384,0.72422,0.44418,1.00217,0.0090496,0.0090496,0.0090496
50,361.545,0.82886,0.59918,1.0796,0.96472,0.86906,0.91325,0.76286,0.76678,0.45263,1.03113,0.0090298,0.0090298,0.0090298
51,368.617,0.83474,0.59597,1.07517,0.93968,0.87368,0.91514,0.77014,0.75802,0.49007,1.00918,0.00901,0.00901,0.00901
52,375.826,0.83188,0.57658,1.0784,0.94357,0.89246,0.93131,0.78147,0.79635,0.45257,1.03685,0.0089902,0.0089902,0.0089902
53,383.029,0.81372,0.57545,1.05482,0.94003,0.88067,0.93111,0.77738,0.74255,0.44855,1.0056,0.0089704,0.0089704,0.0089704
54,390.121,0.83046,0.58598,1.08091,0.94961,0.8825,0.9138,0.74603,0.83477,0.49435,1.03918,0.0089506,0.0089506,0.0089506
55,397.215,0.81789,0.59408,1.08318,0.95063,0.85968,0.9169,0.77181,0.82649,0.47504,1.07545,0.0089308,0.0089308,0.0089308
56,404.381,0.81921,0.58007,1.05911,0.94197,0.88274,0.92583,0.76397,0.74421,0.43948,1.04175,0.008911,0.008911,0.008911
57,411.467,0.82259,0.57427,1.06651,0.94251,0.88681,0.92222,0.77641,0.72448,0.45398,1.0057,0.0088912,0.0088912,0.0088912
58,418.574,0.79194,0.58082,1.06314,0.92903,0.88662,0.91386,0.7699,0.72505,0.45987,1.02074,0.0088714,0.0088714,0.0088714
59,426.359,0.80438,0.56032,1.06372,0.92235,0.8959,0.92251,0.76464,0.78249,0.47542,1.01941,0.0088516,0.0088516,0.0088516
60,433.458,0.80219,0.56883,1.06649,0.93765,0.8772,0.91946,0.75366,0.76021,0.49217,1.03423,0.0088318,0.0088318,0.0088318
61,440.758,0.80366,0.55736,1.06251,0.94137,0.89147,0.93327,0.78393,0.74233,0.43087,1.03149,0.008812,0.008812,0.008812
62,447.98,0.78546,0.54944,1.05346,0.91287,0.8946,0.92469,0.78002,0.72503,0.46094,1.00906,0.0087922,0.0087922,0.0087922
63,455.038,0.80346,0.56895,1.07218,0.93823,0.88116,0.92768,0.77301,0.73133,0.44561,1.00165,0.0087724,0.0087724,0.0087724
64,462.149,0.7748,0.55761,1.04646,0.94857,0.87475,0.91892,0.77649,0.73307,0.46845,1.00787,0.0087526,0.0087526,0.0087526
65,469.333,0.79755,0.54921,1.07596,0.94074,0.88264,0.91286,0.76213,0.70794,0.47666,1.0122,0.0087328,0.0087328,0.0087328
66,476.465,0.77191,0.52096,1.04742,0.95356,0.87625,0.92826,0.77263,0.76779,0.45915,1.02722,0.008713,0.008713,0.008713
67,483.554,0.78249,0.53837,1.05472,0.94039,0.8683,0.91364,0.76289,0.72565,0.47016,1.01538,0.0086932,0.0086932,0.0086932
68,490.625,0.77289,0.53709,1.03476,0.96126,0.88116,0.92742,0.77492,0.75135,0.44803,1.00193,0.0086734,0.0086734,0.0086734
69,497.767,0.78232,0.54935,1.04431,0.95193,0.88517,0.93437,0.7826,0.7064,0.41577,1.00703,0.0086536,0.0086536,0.0086536
70,504.849,0.76987,0.53133,1.04281,0.95294,0.8838,0.93348,0.78597,0.70555,0.42765,1.00353,0.0086338,0.0086338,0.0086338
71,511.945,0.78133,0.542,1.0469,0.95013,0.89246,0.92525,0.78217,0.72031,0.4406,1.0105,0.008614,0.008614,0.008614
72,519.109,0.79636,0.54249,1.05389,0.92419,0.90346,0.92261,0.78061,0.69112,0.40768,0.97241,0.0085942,0.0085942,0.0085942
73,526.213,0.78032,0.52996,1.04611,0.92526,0.9002,0.9225,0.77645,0.72022,0.43691,0.98965,0.0085744,0.0085744,0.0085744
74,533.318,0.77585,0.52918,1.0444,0.94322,0.88191,0.92767,0.77388,0.68192,0.43839,0.97883,0.0085546,0.0085546,0.0085546
75,540.452,0.7714,0.52817,1.04535,0.94234,0.91093,0.93982,0.78139,0.69463,0.4096,1.01041,0.0085348,0.0085348,0.0085348
76,547.596,0.75313,0.5169,1.03073,0.93219,0.88988,0.92708,0.77666,0.71146,0.42682,1.00067,0.008515,0.008515,0.008515
